,Origin State,Origin City,Cost,Rating Count
0,AL,ANNISTON,3105.12,1
1,AL,ANNISTON,3357.28,1
2,AR,MAGNESS,2670.23,1
3,AR,MAGNESS,2715.14,1
4,CA,VERNON,2241.49,1
5,GA,GRACEWOOD,1577.01,1
6,IL,ARGO,1613.61,1
7,IL,CHICAGO HEIGHTS,2273.01,1
8,LA,BATON ROUGE,6414.26,1
9,LA,PLAQUEMINE,1763.4,1
10,LA,PLAQUEMINE,1805.94,1
11,LA,PLAQUEMINE,1855.38,1
12,LA,PLAQUEMINE,1915.26,1
13,LA,PLAQUEMINE,1988.05,1
14,LA,PLAQUEMINE,2772.01,1
15,LA,PLAQUEMINE,3165.41,1
16,LA,ST ROSE,2203.37,1
17,LA,TAFT,2169.32,1
18,LA,TAFT,3119.63,1
19,LA,TAFT,3415.11,1
20,MD,WORTON,5294.44,1
21,MD,WORTON,7126.23,1
22,NC,MONROE,1737.27,1
23,NC,NEUSE,2134.93,1
24,NC,WILMINGTON,2155.65,1
25,NJ,PORT NEWARK,1845.54,1
26,PA,WEST ELIZABETH,1322.48,1
27,PA,WEST ELIZABETH,3448.28,1
28,PA,WEST ELIZABETH,4069.06,1
29,PA,WEST ELIZABETH,4828.37,1
30,SC,CHARLESTON,1731.1,1
31,SC,EASTMAN,982.18,1
32,SC,EASTMAN,1017.86,1
33,SC,EASTMAN,1888.96,1
34,SC,EASTMAN,2196.19,1
35,SC,EASTMAN,2657.52,1
36,SC,EASTMAN,3348.36,1
37,SC,EASTMAN,4171.12,1
38,SC,EASTMAN,4927.91,1
39,TN,BROWNSVILLE,2075.95,1
40,TN,BROWNSVILLE,3059.05,1
41,TN,BROWNSVILLE,4099.67,1
42,TN,BROWNSVILLE,4132.27,1
43,TN,BROWNSVILLE,6098.9,1
44,TN,KINGSPORT,850.1,1
45,TN,KINGSPORT,1525.29,1
46,TN,KINGSPORT,1623.59,1
47,TN,KINGSPORT,1651.44,1
48,TN,KINGSPORT,1732.56,1
49,TN,KINGSPORT,1748.41,1
50,TN,KINGSPORT,1753.58,1
51,TN,KINGSPORT,1762.35,1
52,TN,KINGSPORT,1804.46,1
53,TN,KINGSPORT,1881.38,1
54,TN,KINGSPORT,1905.88,1
55,TN,KINGSPORT,1912.77,1
56,TN,KINGSPORT,2019.1,1
57,TN,KINGSPORT,2062.11,1
58,TN,KINGSPORT,2068.29,1
59,TN,KINGSPORT,2068.53,1
60,TN,KINGSPORT,2083.97,1
61,TN,KINGSPORT,2116.7,1
62,TN,KINGSPORT,2144.87,1
63,TN,KINGSPORT,2152.23,1
64,TN,KINGSPORT,2152.76,1
65,TN,KINGSPORT,2175.81,1
66,TN,KINGSPORT,2222.34,1
67,TN,KINGSPORT,2302.37,1
68,TN,KINGSPORT,2337.0,1
69,TN,KINGSPORT,2338.76,1
70,TN,KINGSPORT,2351.72,1
71,TN,KINGSPORT,2416.37,1
72,TN,KINGSPORT,2425.32,1
73,TN,KINGSPORT,2427.3,1
74,TN,KINGSPORT,2440.5,1
75,TN,KINGSPORT,2442.51,1
76,TN,KINGSPORT,2446.56,1
77,TN,KINGSPORT,2458.61,1
78,TN,KINGSPORT,2476.13,1
79,TN,KINGSPORT,2490.34,1
80,TN,KINGSPORT,2497.14,1
81,TN,KINGSPORT,2501.23,1
82,TN,KINGSPORT,2507.03,1
83,TN,KINGSPORT,2531.12,1
84,TN,KINGSPORT,2574.09,1
85,TN,KINGSPORT,2583.54,1
86,TN,KINGSPORT,2595.24,1
87,TN,KINGSPORT,2653.45,1
88,TN,KINGSPORT,2657.83,1
89,TN,KINGSPORT,2669.55,1
90,TN,KINGSPORT,2670.07,1
91,TN,KINGSPORT,2678.72,1
92,TN,KINGSPORT,2688.16,1
93,TN,KINGSPORT,2690.3,1
94,TN,KINGSPORT,2697.41,1
95,TN,KINGSPORT,2702.42,1
96,TN,KINGSPORT,2748.24,1
97,TN,KINGSPORT,2837.78,1
98,TN,KINGSPORT,2837.84,1
99,TN,KINGSPORT,2842.47,1
100,TN,KINGSPORT,2859.76,1
101,TN,KINGSPORT,2865.3,1
102,TN,KINGSPORT,2919.13,1
103,TN,KINGSPORT,2939.49,1
104,TN,KINGSPORT,2968.35,1
105,TN,KINGSPORT,2998.81,1
106,TN,KINGSPORT,3009.54,1
107,TN,KINGSPORT,3011.32,1
108,TN,KINGSPORT,3035.45,1
109,TN,KINGSPORT,3049.82,1
110,TN,KINGSPORT,3081.63,1
111,TN,KINGSPORT,3093.51,1
112,TN,KINGSPORT,3122.96,1
113,TN,KINGSPORT,3127.1,1
114,TN,KINGSPORT,3130.93,1
115,TN,KINGSPORT,3144.28,1
116,TN,KINGSPORT,3153.04,1
117,TN,KINGSPORT,3156.32,1
118,TN,KINGSPORT,3163.32,1
119,TN,KINGSPORT,3170.27,1
120,TN,KINGSPORT,3177.03,1
121,TN,KINGSPORT,3177.31,1
122,TN,KINGSPORT,3205.22,1
123,TN,KINGSPORT,3259.13,1
124,TN,KINGSPORT,3274.4,1
125,TN,KINGSPORT,3330.8,1
126,TN,KINGSPORT,3379.72,1
127,TN,KINGSPORT,3397.69,1
128,TN,KINGSPORT,3408.92,1
129,TN,KINGSPORT,3415.71,1
130,TN,KINGSPORT,3418.12,1
131,TN,KINGSPORT,3423.52,1
132,TN,KINGSPORT,3482.35,1
133,TN,KINGSPORT,3544.1,1
134,TN,KINGSPORT,3629.79,1
135,TN,KINGSPORT,3629.8,1
136,TN,KINGSPORT,3680.49,1
137,TN,KINGSPORT,3721.49,1
138,TN,KINGSPORT,3761.6,1
139,TN,KINGSPORT,3811.11,1
140,TN,KINGSPORT,3844.97,1
141,TN,KINGSPORT,3902.17,1
142,TN,KINGSPORT,3931.33,2
143,TN,KINGSPORT,3941.02,1
144,TN,KINGSPORT,3944.83,1
145,TN,KINGSPORT,3944.94,1
146,TN,KINGSPORT,3970.85,1
147,TN,KINGSPORT,4023.45,1
148,TN,KINGSPORT,4043.04,1
149,TN,KINGSPORT,4054.25,1
150,TN,KINGSPORT,4141.8,1
151,TN,KINGSPORT,4148.0,1
152,TN,KINGSPORT,4156.61,1
153,TN,KINGSPORT,4230.24,1
154,TN,KINGSPORT,4277.52,1
155,TN,KINGSPORT,4424.65,1
156,TN,KINGSPORT,4555.86,1
157,TN,KINGSPORT,4637.28,1
158,TN,KINGSPORT,4889.52,1
159,TN,KINGSPORT,5016.53,1
160,TN,KINGSPORT,5173.27,1
161,TN,KINGSPORT,5518.36,1
162,TN,KINGSPORT,5701.89,1
163,TN,KINGSPORT,6388.32,1
164,TN,KINGSPORT,6482.53,1
165,TN,KINGSPORT,6510.2,1
166,TN,KINGSPORT,6927.58,1
167,TN,KINGSPORT,7330.43,1
168,TN,KINGSPORT,7518.08,1
169,TN,KINGSPORT,7557.31,1
170,TN,KINGSPORT,7641.99,1
171,TN,KINGSPORT,8207.39,1
172,TN,KINGSPORT,8265.17,1
173,TX,BAYPORT,1293.11,1
174,TX,BAYPORT,1344.53,1
175,TX,BAYPORT,2955.68,1
176,TX,BAYPORT,3505.62,1
177,TX,BAYPORT,4017.7,1
178,TX,BAYPORT,4538.02,1
179,TX,BISHOP,3879.52,1
180,TX,CHOCOLATE BAYOU,683.62,1
181,TX,CHOCOLATE BAYOU,1365.75,1
182,TX,CHOCOLATE BAYOU,5339.84,1
183,TX,DEER PARK,2682.1,2
184,TX,GALENA PARK,1535.95,1
185,TX,HOUSTON,3917.57,1
186,TX,LONGVIEW,1229.04,1
187,TX,LONGVIEW,1340.07,1
188,TX,LONGVIEW,1340.89,1
189,TX,LONGVIEW,1345.89,1
190,TX,LONGVIEW,1387.33,1
191,TX,LONGVIEW,1408.81,1
192,TX,LONGVIEW,1453.75,1
193,TX,LONGVIEW,1474.58,1
194,TX,LONGVIEW,1558.56,1
195,TX,LONGVIEW,1608.07,1
196,TX,LONGVIEW,1634.91,1
197,TX,LONGVIEW,1728.93,1
198,TX,LONGVIEW,1771.45,1
199,TX,LONGVIEW,1774.78,1
200,TX,LONGVIEW,1779.47,1
201,TX,LONGVIEW,1788.34,1
202,TX,LONGVIEW,1823.61,1
203,TX,LONGVIEW,1862.63,1
204,TX,LONGVIEW,1876.14,1
205,TX,LONGVIEW,1947.72,1
206,TX,LONGVIEW,1987.73,1
207,TX,LONGVIEW,1992.36,1
208,TX,LONGVIEW,2042.75,1
209,TX,LONGVIEW,2054.48,1
210,TX,LONGVIEW,2144.87,1
211,TX,LONGVIEW,2150.68,1
212,TX,LONGVIEW,2169.32,1
213,TX,LONGVIEW,2171.11,1
214,TX,LONGVIEW,2200.73,1
215,TX,LONGVIEW,2288.01,1
216,TX,LONGVIEW,2404.13,1
217,TX,LONGVIEW,2507.65,1
218,TX,LONGVIEW,2521.03,1
219,TX,LONGVIEW,2566.58,1
220,TX,LONGVIEW,2602.75,1
221,TX,LONGVIEW,2625.22,1
222,TX,LONGVIEW,2662.37,1
223,TX,LONGVIEW,2665.22,1
224,TX,LONGVIEW,2688.36,1
225,TX,LONGVIEW,2721.4,1
226,TX,LONGVIEW,2749.4,2
227,TX,LONGVIEW,2806.01,1
228,TX,LONGVIEW,2823.18,1
229,TX,LONGVIEW,2885.93,1
230,TX,LONGVIEW,2886.12,1
231,TX,LONGVIEW,2961.16,1
232,TX,LONGVIEW,2991.4,1
233,TX,LONGVIEW,3046.49,1
234,TX,LONGVIEW,3084.16,1
235,TX,LONGVIEW,3104.64,1
236,TX,LONGVIEW,3118.02,1
237,TX,LONGVIEW,3121.84,1
238,TX,LONGVIEW,3143.91,1
239,TX,LONGVIEW,3162.37,1
240,TX,LONGVIEW,3194.77,1
241,TX,LONGVIEW,3261.3,1
242,TX,LONGVIEW,3298.76,1
243,TX,LONGVIEW,3313.99,1
244,TX,LONGVIEW,3371.68,1
245,TX,LONGVIEW,3392.35,1
246,TX,LONGVIEW,3602.93,1
247,TX,LONGVIEW,3627.64,1
248,TX,LONGVIEW,3711.05,1
249,TX,LONGVIEW,3728.9,1
250,TX,LONGVIEW,3750.88,1
251,TX,LONGVIEW,3757.88,1
252,TX,LONGVIEW,3771.32,1
253,TX,LONGVIEW,3800.73,1
254,TX,LONGVIEW,3811.24,1
255,TX,LONGVIEW,3828.47,1
256,TX,LONGVIEW,3907.6,1
257,TX,LONGVIEW,3928.84,1
258,TX,LONGVIEW,4021.42,1
259,TX,LONGVIEW,4053.43,1
260,TX,LONGVIEW,4072.4,1
261,TX,LONGVIEW,4094.91,1
262,TX,LONGVIEW,4102.36,1
263,TX,LONGVIEW,4144.09,1
264,TX,LONGVIEW,4158.62,1
265,TX,LONGVIEW,4207.4,1
266,TX,LONGVIEW,4326.07,1
267,TX,LONGVIEW,4382.88,1
268,TX,LONGVIEW,4394.12,1
269,TX,LONGVIEW,4404.52,1
270,TX,LONGVIEW,4457.57,1
271,TX,LONGVIEW,4595.91,1
272,TX,LONGVIEW,4894.37,1
273,TX,LONGVIEW,5019.14,1
274,TX,LONGVIEW,5054.58,1
275,TX,LONGVIEW,5195.46,1
276,TX,LONGVIEW,5207.65,1
277,TX,LONGVIEW,5404.06,1
278,TX,LONGVIEW,5477.66,1
279,TX,LONGVIEW,5481.73,1
280,TX,LONGVIEW,5593.37,1
281,TX,LONGVIEW,5677.66,1
282,TX,LONGVIEW,5802.56,1
283,TX,LONGVIEW,5853.2,1
284,TX,LONGVIEW,6171.22,1
285,TX,LONGVIEW,6570.01,1
286,TX,LONGVIEW,6728.45,1
287,TX,STRANG,1251.2,1
288,TX,STRANG,2965.66,1
289,TX,TEXAS CITY,1349.62,1
290,TX,TEXAS CITY,1453.75,1
291,TX,TEXAS CITY,1647.7,1
292,TX,TEXAS CITY,1739.41,1
293,TX,TEXAS CITY,1763.31,1
294,TX,TEXAS CITY,1880.41,1
295,TX,TEXAS CITY,2411.73,1
296,TX,TEXAS CITY,3513.72,1
297,TX,VIOLA,4209.23,1
298,VA,HERCULES,3587.94,1
299,VA,HERCULES,4653.6,1
300,VA,HERCULES,5525.39,1
301,WA,KALAMA,8172.43,1
302,WA,KENT,5102.81,1
